accountsservice 0.6.55-3
mkinitcpio-busybox 1.32.1-3
mobile-broadband-provider-info 20201225-1
mon2cam-git r84.e3f26c7-1
mpfr 4.1.0-2
mpv 1:0.33.1-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mujs 1.1.2-1
nano 5.7-1
nasm 2.15.05-1
ncurses 6.2-2
ndctl 71.1-1
neovim 0.4.4-1
net-tools 2.10-1
netctl 1.24-1
nettle 3.7.2-1
network-manager-applet 1.22.0-1
networkmanager 1.30.4-3
networkmanager-qt 5.82.0-1
ninja 1.10.2-1
nm-connection-editor 1.22.0-1
node-gyp 8.1.0-1
nodejs 16.2.0-1
noto-fonts 20201226-2
noto-fonts-cjk 20201206-2
noto-fonts-emoji 20200916-1
npm 7.15.0-1
npth 1.6-3
nspr 4.30-1
nss 3.65-1
nvm 0.38.0-2
oniguruma 6.9.7.1-1
openal 1.21.1-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.0.5-3
openresolv 3.12.0-1
openssh 8.6p1-1
openssl 1.1.1.k-1
openvpn 2.5.2-1
opus 1.3.1-2
orc 0.4.32-1
otf-san-francisco-compact 1.0-3
p11-kit 0.23.22-1
pacman 5.2.2-4
pacman-mirrorlist 20210509-1
pacutils 0.10.0-1
pahole 1.21-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.5-1
pangomm 2.46.1-2
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.1-1
perl 5.34.0-1
perl-clone 0.45-3
perl-data-dump 1.23-7
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.32-2
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-io-socket-ssl 2.071-1
perl-json 2.97001-2
perl-libwww 6.54-2
perl-log-message 0.08-7
perl-log-message-simple 0.10-7
perl-lwp-mediatypes 6.02-9
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-net-ssleay 1.90-2
perl-term-readline-gnu 1.37-1
perl-term-ui 0.46-7
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
pinentry 1.1.1-1
pipewire 1:0.3.28-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
polkit 0.118-1
polkit-kde-agent 5.21.5-1
polkit-qt5 0.113.0-2
polybar 3.5.6-1
popt 1.18-1
portaudio 1:19.7.0-1
prison 5.82.0-1
procps-ng 3.3.17-1
procs 0.11.7-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-3
python 3.9.5-3
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-bcrypt 3.2.0-3
python-cachecontrol 0.12.6-3
python-cached-property 1.5.2-3
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-click 8.0.1-1
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-docker 5.0.0-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-docutils 0.16-4
python-dotenv 0.17.1-1
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-idna 3.1-1
python-imagesize 1.2.0-4
python-importlib-metadata 4.0.1-1
python-jinja 3.0.1-1
python-jsonschema 3.2.0-4
python-keyutils 0.6-6
python-markupsafe 2.0.1-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-pep517 0.10.0-2
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-pycparser 2.20-3
python-pygments 2.9.0-1
python-pynacl 1.4.0-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyrsistent 0.17.3-3
python-pytz 2021.1-1
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-setuptools 1:56.2.0-1
python-six 1.16.0-1
python-snowballstemmer 2.1.0-1
python-sphinx 4.0.2-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 2.0.0-1
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.5-1
python-texttable 1.6.3-3
python-toml 0.10.2-3
python-urllib3 1.26.4-2
python-webencodings 0.5.1-6
python-websocket-client 0.59.0-1
python-yaml 5.4.1.1-2
python-zipp 3.4.1-1
python2 2.7.18-3
qqc2-desktop-style 5.82.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r196-1
qt5-charts 5.15.2-1
qt5-declarative 5.15.2+kde+r26-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-script 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-tools 5.15.2+kde+r17-1
qt5-wayland 5.15.2+kde+r23-1
qt5-x11extras 5.15.2-1
rav1e 0.4.1-1
re2 1:20210401-1
readline 8.1.001-1
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 12.1.1-1
rofi 1.6.1-1
rtkit 0.13-1
rubberband 1.9.1-1
runc 1.0.0rc95-1
sbc 1.5-2
screen 4.8.0-3
sddm 0.19.0-6
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shaderc 2021.0-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
simplescreenrecorder 0.4.3-1
slang 2.3.2-2
smartmontools 7.2-1
snapd 2.50-1
snappy 1.1.8-2
sndio 1.7.0-3
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.1-1
sqlite 3.35.5-1
squashfs-tools 4.4_git.1-1
srt 1.4.3-1
startup-notification 0.12-7
stk 4.6.1-3
stoken 0.92-4
strace 5.12-1
sudo 1.9.7-1
svt-av1 0.8.7-1
sysfsutils 2.1.1-1
systemd 248.3-2
